paper	fos	similarity
297357918	153911025	0.4025084
297357918	86803240	0.283989966
297357918	20418707	0.4789801
297357918	389152	0.5238979
297357918	104292427	0.519384146
297357918	502942594	0.390749872
297357918	84425145	0.5059464
297357918	11960822	0.5000524
297357918	2776414213	0.4624445
297357918	178666793	0.4646224
297357956	81089528	0.3967781
297357956	144024400	0.333961844
297357956	2549261	0.3518643
297358004	2779306644	0.5355594
297358004	2781283889	0.5514122
297358004	2779922275	0.5040886
297358004	2781184683	0.497626245
297358004	2780349322	0.5268916
297358004	2779829184	0.491881967
297358004	2781232474	0.6010878
297358004	2778313320	0.5262216
297358004	126322002	0
297358004	134018914	0.3975147
297358004	71924100	0.333139449
297358097	49774154	0.4255779
297358097	2780126544	0.489469022
297358097	120912362	0.474033356
297358097	193596192	0.4215095
297358097	2780805685	0.4910961
297358097	41008148	0.39188844
297358206	115903868	0.4302646
297358206	127413603	0.396703839
297358242	136264566	0.399464816
297358242	127142870	0.587883651
297358242	162324750	0.3801043
297358428	73484699	0.4443378
297358428	2780105426	0.584958
297358428	93377909	0.468064278
297358428	538168058	0.54096204
297358428	60643870	0.508925
297358428	17744445	0.45112887
297358588	126867156	0
297358588	512399662	0.4384364
297358588	71924100	0.405071825
297358588	187736073	0.414854527
297358633	110354214	0.436412781
297358633	21547014	0.429636121
297358633	127413603	0.398056328
297358680	121608353	0.419971615
297358680	42219234	0.362841
297358680	1862650	0.372523338
297358680	14184104	0.5643239
297358680	71924100	0.317210138
297358772	111226992	0.4136192
297358772	513323569	0.454050362
297358772	29694066	0.41735515
297358772	502991105	0.5258959
297358772	71924100	0.364253521
297358791	126348684	0.2932324
297358791	185592680	0.262494534
297358791	54286561	0.264029771
297358797	159047783	0.34728384
297358797	177713679	0.335667
297358797	2779288629	0.405424535
297358797	2776703206	0.521852851
297358797	2777334864	0.482244283
297358797	2778980435	0.498749524
297358797	2778355172	0.562127054
297358797	501593827	0.5118073
297358797	71924100	0.273468941
297358797	2778977604	0.559369564
297358797	2776938444	0.505520046
297358810	554144382	0.3287765
297358810	142362112	0.309471369
297358851	15744967	0.432074457
297358851	70410870	0.4724908
297358851	19417346	0.433990538
297358851	500440147	0.443622231
297358851	178229462	0.5157281
297358920	2780138947	0.428380221
297358920	180429540	0.429855317
297358920	39432304	0.328928173
297358920	157005057	0.5365565
297358920	54286561	0.436048776
297358920	6557445	0.440100968
297358946	142816520	0.5207503
297358946	191935318	0.4250772
297358946	162324750	0.368673742
297358946	2779653078	0.5594624
297358946	66809384	0.464895219
297358946	2777534865	0.4634303
297358946	66204764	0.426686168
297358946	41866144	0.429571867
297358946	39853841	0.49973166
297358946	50522688	0.4100494
297358957	2779947927	0.460075945
297358957	199539241	0.3433214
297358957	17744445	0.3094609
297359039	111368507	0.352692127
297359039	42475967	0.331249833
297359039	127413603	0.3214864
297359183	48243021	0.527255356
297359183	201995342	0.456508577
297359183	2779575090	0.407920122
297359183	188087704	0.5591355
297359183	42475967	0.44598636
297359183	98143201	0.518465161
297359183	123657996	0.5281741
